x,y,cls
-0.22452412545681,-0.34552000137046,2
-0.37720040185377,0.995582510251552,1
-0.788321477826685,0.453267084434628,2
-0.601053818594664,0.694200055208057,1
0.926908259745687,-0.373745116405189,1
-0.0600264403037727,0.333828683942556,1
0.828803590033203,-0.978251051157713,2
-0.25527651514858,0.0748961088247597,2
0.405141945928335,-0.916945057921112,2
0.581478755921125,0.703896357677877,1
-0.17344681546092,-0.407487154006958,2
0.705752620007843,0.87570712948218,1
0.809515851549804,-0.0313350660726428,1
-0.0799005413427949,0.976146792061627,1
0.706792095676064,-0.131619782187045,1
0.162810447625816,-0.811951471492648,2
-0.823440616484731,0.324950156733394,2
0.648394763469696,-0.997623269911855,2
-0.758271402679384,-0.87366098491475,2
0.123860337305814,0.726527163293213,1
-0.876001478172839,-0.548308443278074,2
0.256566188298166,0.598071161191911,1
-0.412429376039654,-0.548605714458972,2
0.433734222315252,-0.696795040275902,2
0.156687051523477,-0.367328424938023,2
0.751708471681923,0.0909207374788821,1
-0.0594988968223333,0.355801636818796,1
-0.179286341648549,0.270051734987646,1
-0.81827273638919,0.0530286743305624,2
-0.13605214189738,-0.450422774069011,2
0.0392021723091602,-0.849469576962292,2
0.603421367704868,-0.128604189958423,1
0.431196922436357,-0.400509586092085,1
0.547690209001303,-0.264912704471499,1
0.13577192928642,-0.476345317438245,2
0.355872396845371,-0.885896707419306,2
-0.953169617801905,0.315053505823016,2
0.982926207594573,-0.904987082350999,1
0.629687883891165,-0.507877278141677,1
-0.272202039137483,0.669262095820159,1
0.985114141367376,0.464140835683793,1
0.211105913389474,-0.181324275676161,1
-0.15966660156846,-0.0579254743643105,2
0.959761784877628,0.964037062600255,1
-0.282262411434203,-0.121084745507687,2
-0.62004695693031,0.499429802875966,2
-0.466125669889152,0.954700821544975,1
-0.223531066905707,-0.525683762039989,2
0.771983783692122,-0.00348653877153993,1
-0.280978078022599,0.0158230196684599,2
0.652057609055191,0.799543943721801,1
0.119491769000888,0.629000888206065,1
0.447432764805853,-0.120500538498163,1
-0.0835241344757378,0.792288058903068,1
-0.656943283975124,0.387365859467536,2
-0.605024350807071,0.22756687970832,2
-0.479546259623021,-0.838697815313935,2
-0.761924744118005,-0.972039241343737,2
0.499357499647886,-0.958797995001078,2
-0.697346066124737,-0.834518716670573,2
0.638153402600437,0.834434530232102,1
-0.994305436033756,0.92489313101396,2
0.82586591783911,0.911055233795196,1
